response_uuid,child_hashed_id,Experiment,Phase-Block-Trial,Mode,Type,Start,End,Time_Interval,Looking_time_score,%_looking_intervals,,Looking Time
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E1:1-3,EXP-A:TST-V,Con,0.5,14.4,13.9,,0,,13.900
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E1:4-6,EXP-A:TST-V,Con,14.6,28.4,13.8,,0,,13.800
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E1:7-9,EXP-A:TST-V,Con,28.7,42.5,13.8,,0,,7.250
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E1:10-12,EXP-A:TST-V,Con,42.7,56.6,13.9,,0,,9.360
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E2:1-3,EXP-A:TST-V,Con,57,70.9,13.9,,0,,13.900
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E2:4-6,EXP-A:TST-V,Con,71.1,85,13.9,,0,,13.900
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E2:7-9,EXP-A:TST-V,Con,85.2,99.01,13.81,,0,,13.810
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E2:10-12,EXP-A:TST-V,Con,99.2,113.11,13.91,,0,,13.910
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E3:1-3,EXP-A:TST-V,Con,113.3,127.21,13.91,,0,,13.910
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E3:4-6,EXP-A:TST-V,Con,127.5,141.31,13.81,,0,,12.163
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E3:7-9,EXP-A:TST-V,Con,141.51,155.31,13.8,,0,,13.168
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,E3:10-12,EXP-A:TST-V,Con,155.6,169.41,13.81,,0,,13.192
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:1-3,EXP-A:TST-V,Con,169.81,184.61,14.8,,0,,13.679
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:4-6,EXP-A:TST-V,Con,185.01,199.91,14.9,,0,,12.550
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:7-9,EXP-A:TST-V,InCon,200.21,215.01,14.8,,0,,9.176
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:10-12,EXP-A:TST-V,Con,215.31,230.11,14.8,,0,,10.181
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:13-15,EXP-A:TST-V,Con,230.51,245.31,14.8,,0,,13.374
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:16-18,EXP-A:TST-V,Con,245.61,260.41,14.8,,0,,8.021
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:19-21,EXP-A:TST-V,InCon,260.71,275.81,15.1,,0,,11.894
dd3be496-70e3-4d68-bdf1-7af7fdd0b1d5,AD6BMY,AML,T:22-24,EXP-A:TST-V,Con,276.21,291.01,14.8,,0,,11.439
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,